
created_at	id	name	operator	rn1
1435148627095	da856b40-3742-4662-8716-e66e6a4245dc	55134	other	55134
1435148627095	936e1adb-e498-4c5d-8693-00c89e5218c0	55129	other	55129
1435155367210	ce9fd2a9-d09c-4b4c-8a6e-63c4cbe28e41	telemar/mg	other	telemar/mg
1435154935900	39a1bb84-306c-4a4f-b5e8-cad2af678007	sermatel	other	sermatel
1435154935900	d2fb907b-8e45-4ec7-bb94-20ddcd76c988	diogenes	other	diogenes
1435155367210	f3567a8e-8641-4750-9de4-9e3eeaa7ae9c	viacom	other	viacom
1435155367210	ac29f467-8468-45a9-9af8-d5f151152c88	ostara	other	ostara
1435154935900	3d579911-a59a-4c40-b96e-d461dcaabdb1	cabo	other	cabo
1435155367210	2ecf3bb6-2208-4a25-9af8-ea1783fd5a29	gti	other	gti
1435155367210	2903bbbc-1e59-40ff-8512-abac4a235bd2	red	other	red
1435154935900	3901d883-5db0-4b68-b6e9-1e837c4ac067	gt	other	gt
1435155367210	58b7c2b2-dd3d-4b3d-883e-c5c9f6751de8	telecomdados	other	telecomdados
1435155367210	68a9dd96-13de-4460-872f-9f4a67e30498	telemar/pa	other	telemar/pa
1435155367210	c3e68162-8be9-4896-996a-2b4958ec6e03	telemar/pb	other	telemar/pb
1435155367210	9862701e-4695-48bb-9127-4245cf8fd1ea	nortelpa	other	nortelpa
1435155367210	08768fe0-2677-4543-9414-0a50e31afbdf	plenna	other	plenna
1435155367210	e012fd2f-e84f-4356-ae51-085fa0394922	fonar	other	fonar
1435155367210	900ecab5-ceb4-4150-90d5-ea889d530dad	etml	other	etml
1435155367210	7495b081-14d2-4a85-b86d-3d6ef551cdc8	idt	other	idt
1435155367210	faa90877-9a14-450a-aef6-cc6c63f5558d	ipe	other	ipe
1435155367210	a3db420f-d9a6-435d-9c44-24f1f67b57e2	informatica	other	informatica
1435155367210	f8b8f99d-2054-4bc4-98eb-a5ed558d587c	mundivox	other	mundivox
