RN BRASIL - SERVICOS DE PROVEDORES LTDA;55165;outros
RST SERVICO DE TELECOMUNICACOES LTDA;55230;outros
S.O. DO BRASIL TELECOMUNICACOES LTDA -EPP;55230;outros
SDW TECNOLOGIA E TELECOMUNICACOES LTDA;55183;outros
sercomtel;55143;sercomtel
SERMATEL;55181;outros
SIGNALLINK INFORMATICA LTDA;55167;outros
SIMTERNET TECNOLOGIA DA INFORMACAO LTDA;55128;outros
SITECNET INFORMATICA LTDA -ME;55227;outros
SMART VoiP TELECOMUNICACOES LTDA;55194;outros
SPIN TELECOMUNICACOES LTDA;55118;outros
STELLAR S.A;55158;outros
SUL AMERICANA SERVICO DE TELEFONIA LTDA;55224;outros
SUPERIMAGEM TECNOLOGIA EM ELETRONICA LTDA;55220;outros
SUPORTE;55168;outros
TELECALL BRASIL SERVICOS DE TELECOMUNICACOES LTDA;55101;outros
TELECOM SOUTH AMERICA S.A.;55138;outros
TELECOMDADOS SERVICOS LTDA - ME;55172;outros
TELECOMUNICACOES DE SAO PAULO S.A - TELESP - REGIOES I E II;55215;vivo
TELECOMUNICACOES DOLLARPHONE DO BRASIL LTDA;55171;outros
TELEFREE;55174;outros
TELEMAR/AL;55131;oi
TELEMAR/AM;55131;oi
TELEMAR/AP;55131;oi
TELEMAR/BA;55131;oi
TELEMAR/CE;55131;oi
TELEMAR/ES;55131;oi
TELEMAR/MA;55131;oi
TELEMAR/MG;55131;oi
TELEMAR/PA;55131;oi
TELEMAR/PB;55131;oi
TELEMAR/PE;55131;oi
TELEMAR/PI;55131;oi
TELEMAR/RJ;55131;oi
TELEMAR/RN;55131;oi
TELEMAR/RR;55131;oi
TELEMAR/SE;55131;oi
TELESP;55115;vivo
TELETEL CALLIP TELECOMUNICACOES LTDA;55186;outros
TERAPAR PARTICIPACOES LTDA;55217;outros
tim CELULAR S.A. (REGIAO III);55141;tim
TINERHIR;55188;outros
T-LESTE TELECOMUNICACOES LESTE DE SAO PAULO LTDA;55129;outros
TMAIS;55175;outros
TPA INFORMATICA;55105;outros
transit;55117;transit
ULTRANET TELECOMUNICACOES LTDA;55185;outros
UNIVERSAL TELECOM S.A;55226;outros
UNIVERSO SERVICOS DE TELECOMUNICACOES LTDA;55211;outros
VIA TELECOM INFORMATICA E TELECOMUNICACOES LTDA;55190;vivo
VIACOM NEXT GENERATION;55192;outros
VIPNET BAIXADA TELECOMUNICACOES E INFORMATICA LTDA;55107;gvt
VIPWAY SERVICOS DE TELECOMUNICACOES LTDA;55193;outros
VISAONET TELECOM LTDA;55119;outros
VOXBONE BRAZIL TELECOMUNICACOES LTDA;55212;outros
WIRELESS COMM SERVICES LTDA;55209;outros
WKVE ASSESSORIA EM SERVICOS DE INFORMATICA E TELECOMUNICACOES LTDA;55130;outros
14 BRASILTELECOM - (PR E SC);55314;oi
AMAZONIA CELULAR S.A. (PA);55324;oi
AMERICEL S.A.;55321;claro
BCP S.A.;55321;claro
CTBC CELULAR S.A.;55312;algar
DATORA TELECOMUNICACOES LTDA;55301;tim
FALKLAND TECNOLOGIA EM TELECOMUNICACOES LTDA;55391;outros
GLOBALSTAR DO BRASIL S/A;55393;outros
IRIDIUM SUDAMERICA - BRASIL S/A;55392;outros
nextel SERVICOS DE TELECOMUNICACOES LTDA.;55351;nextel
nextel;55377;nextel
OPTIONS COMP & ELET LTDA;55349;outros
PORTO SEGURO TELECOMUNICACOES S.A.;55302;tim
sercomtel CELULAR S.A.;55343;sercomtel
SISTEER DO BRASIL TELECOMUNICACOES LTDA;55303;vivo
SUPERCHIP TELECOMUNICACOES LTDA;55375;outros
TELCOM TELECOMUNICACOES DO BRASIL LTDA;55390;outros
TELEMIG CELULAR S.A.;55323;vivo
TERAPAR PARTICIPACOES LTDA;55304;outros
tim CELULAR S.A. (REGIAO III);55341;tim
tim NORDESTE S.A. - BA E SE;55341;tim
tim NORDESTE S.A. - MG;55341;tim
TNL PCS S.A.;55331;oi
UNICEL;55337;aeiou
VIVO S.A.;55320;vivo
